temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,temperature_80m,temperature_120m,temperature_180m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
23.012500762939453,78.0,18.96920394897461,24.620338439941406,28.0,0.0,0.0,0.0,0.0,0.0,3.0,1001.5999755859375,1001.1378784179688,100.0,36.0,51.0,100.0,36580.0,0.019999999552965164,0.02909480407834053,0.6183872222900391,12.015588760375977,27.890127182006836,32.52774429321289,36.30470657348633,278.6155700683594,293.5870361328125,297.6993713378906,300.3790588378906,28.799999237060547,22.962499618530273,22.36250114440918,21.5625,22.36250114440918,22.36250114440918,24.0625,23.762500762939453,0.11500000208616257,0.11699999868869781,0.14300000667572021,0.16500000655651093,0.19099999964237213
20.962499618530273,93.0,19.786970138549805,23.24785041809082,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1014.0,1011.412841796875,100.0,50.0,0.0,100.0,6720.0,-0.0,0.0,0.1736593246459961,10.105681419372559,21.674869537353516,27.553525924682617,33.81892776489258,274.0855407714844,281.49652099609375,287.4880676269531,297.92889404296875,19.079999923706055,20.762500762939453,20.262500762939453,20.0625,19.962499618530273,21.712499618530273,23.212499618530273,23.212499618530273,0.08799999952316284,0.12300000339746475,0.17800000309944153,0.23899999260902405,0.3230000138282776
18.96500015258789,86.0,16.57007598876953,20.85070037841797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.9000244140625,998.6768798828125,0.0,0.0,0.0,0.0,21820.0,0.03999999910593033,0.031325552612543106,0.30703866481781006,2.811689853668213,3.5638179779052734,3.5638179779052734,4.104631423950195,219.80552673339844,224.99989318847656,224.99989318847656,232.1249542236328,6.839999675750732,19.76500129699707,19.364999771118164,18.76500129699707,16.96500015258789,17.565000534057617,22.565000534057617,26.114999771118164,0.10000000149011612,0.16099999845027924,0.2199999988079071,0.25200000405311584,0.29100000858306885
12.422499656677246,97.0,11.959291458129883,12.346931457519531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1013.7999877929688,1005.7130126953125,56.0,50.0,0.0,9.0,2940.0,0.0,0.02099480666220188,0.04331624507904053,4.693825721740723,5.623379707336426,10.495713233947754,14.471820831298828,57.52882766723633,129.80552673339844,157.83360290527344,174.2895050048828,16.919998168945312,15.32249927520752,15.622499465942383,15.522500038146973,12.372499465942383,11.622499465942383,15.022500038146973,18.47249984741211,0.21899999678134918,0.2199999988079071,0.2199999988079071,0.21899999678134918,0.20600000023841858
21.518001556396484,53.0,11.535906791687012,21.276153564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.9000244140625,1007.9859619140625,0.0,0.0,0.0,0.0,71840.0,0.07999999821186066,0.16171163320541382,1.2070308923721313,4.896529197692871,9.832679748535156,13.049689292907715,10.829957962036133,342.8971862792969,336.25048828125,335.5560607910156,338.55218505859375,8.279999732971191,21.118000030517578,21.618000030517578,21.31800079345703,24.618000030517578,20.56800079345703,23.218000411987305,25.868000030517578,0.15299999713897705,0.1599999964237213,0.17800000309944153,0.20800000429153442,0.24899999797344208
23.17300033569336,59.0,14.720778465270996,20.249799728393555,18.0,0.0,0.0,0.0,0.0,0.0,2.0,1005.5999755859375,1004.9046020507812,63.0,43.0,40.0,0.0,66660.0,0.21000002324581146,0.15088100731372833,1.1640392541885376,30.758411407470703,50.93332290649414,56.521148681640625,60.5281982421875,343.6860656738281,343.9989013671875,344.1046447753906,344.475830078125,59.7599983215332,22.273000717163086,21.67300033569336,20.873001098632812,22.92300033569336,24.023000717163086,24.72300148010254,24.123001098632812,0.13500000536441803,0.1469999998807907,0.17100000381469727,0.1899999976158142,0.2290000021457672
18.663000106811523,83.0,15.717381477355957,19.555946350097656,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1013.9000244140625,1013.78125,63.0,51.0,29.0,0.0,29300.0,0.07000000774860382,0.03559708967804909,0.36589574813842773,7.2448601722717285,10.144082069396973,10.82995891571045,10.853865623474121,63.43501281738281,62.525657653808594,74.5777816772461,95.71050262451172,14.039999961853027,19.713001251220703,19.413000106811523,18.812999725341797,20.812999725341797,19.562999725341797,21.713001251220703,23.713001251220703,0.18199999630451202,0.18700000643730164,0.2029999941587448,0.22699999809265137,0.2529999911785126
22.11250114440918,81.0,18.698495864868164,23.636531829833984,40.0,0.0,0.0,0.0,0.0,0.0,3.0,1003.0,1002.5360717773438,89.0,61.0,73.0,2.0,28940.0,0.029999999329447746,0.021260099485516548,0.5057165622711182,11.72075080871582,25.582805633544922,30.293521881103516,32.07234191894531,10.619609832763672,357.5805358886719,356.5936279296875,357.42669677734375,32.03999710083008,21.86250114440918,21.262500762939453,20.462499618530273,21.712499618530273,22.11250114440918,23.912500381469727,23.762500762939453,0.11400000005960464,0.11800000071525574,0.14300000667572021,0.16500000655651093,0.19099999964237213
19.754499435424805,52.0,9.618372917175293,18.506345748901367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.5999755859375,1012.76171875,0.0,0.0,0.0,0.0,75360.0,0.14000001549720764,0.1498197466135025,1.106070637702942,7.920000076293945,6.989935398101807,4.379589080810547,2.595996856689453,180.0,191.88864135742188,189.46224975585938,146.30990600585938,18.719999313354492,22.004499435424805,21.504499435424805,20.704500198364258,20.404499053955078,17.504499435424805,20.954500198364258,24.154499053955078,0.11599999666213989,0.16599999368190765,0.22300000488758087,0.2549999952316284,0.31700000166893005
9.680500030517578,94.0,8.761301040649414,7.547972679138184,15.0,0.0,0.0,0.0,0.0,0.0,3.0,1013.2999877929688,1007.9315795898438,98.0,87.0,88.0,0.0,6360.0,0.0,0.014885840006172657,0.07223999500274658,12.397806167602539,21.5308895111084,25.277023315429688,27.50409507751465,334.1790466308594,339.4438781738281,342.5971984863281,345.5999450683594,18.719999313354492,9.380499839782715,8.980500221252441,8.480500221252441,9.480500221252441,10.080500602722168,11.130499839782715,13.730500221252441,0.26899999380111694,0.26899999380111694,0.26600000262260437,0.23499999940395355,0.16500000655651093
