Flight_DateTime,Airport_Code,Latitude,Longitude,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_direction_10m,wind_direction_80m,wind_direction_120m,wind_direction_180m,wind_gusts_10m,temperature_80m,temperature_120m,temperature_180m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2024-09-24T06:05,AYT,36.898701,30.800501,22.218000411987305,49.0,10.996267318725586,21.64400291442871,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1014.9000244140625,1008.00244140625,100.0,0.0,0.0,100.0,74120.0,0.10000000894069672,0.1462419480085373,1.3668783903121948,6.0346999168396,12.768586158752441,16.311613082885742,14.118243217468262,342.6458740234375,338.4985046386719,337.9637145996094,340.6408996582031,10.079999923706055,22.418001174926758,23.118000030517578,22.918001174926758,23.468000411987305,21.06800079345703,24.018001556396484,27.018001556396484,0.1979999989271164,0.20200000703334808,0.210999995470047,0.22200000286102295,0.25099998712539673
2024-09-24T04:55,PMI,39.551701,2.73881,17.712499618530273,99.0,17.553070068359375,19.71521759033203,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1013.5,1013.0238647460938,94.0,74.0,0.0,81.0,1440.0,0.0,0.0,0.020275354385375977,4.896529674530029,1.0800000429153442,5.315336227416992,10.002559661865234,53.972537994384766,180.0,208.3006591796875,210.25634765625,10.799999237060547,19.86250114440918,19.86250114440918,19.462499618530273,18.0625,18.5625,22.512500762939453,23.86250114440918,0.11900000274181366,0.12200000137090683,0.14499999582767487,0.16500000655651093,0.1940000057220459
2024-09-24T05:05,CFU,39.60189819,19.9116993,21.1560001373291,90.0,19.450271606445312,23.875465393066406,68.0,0.699999988079071,0.0,0.699999988079071,0.0,0.0,80.0,1015.2000122070312,1015.2000122070312,100.0,76.0,91.0,100.0,11680.0,0.03999999910593033,0.02412474900484085,0.2510528564453125,5.991593837738037,8.78872013092041,10.5142183303833,13.746155738830566,122.73522186279297,124.99209594726562,128.04708862304688,135.00010681152344,11.519999504089355,20.256000518798828,19.555999755859375,18.95599937438965,22.055999755859375,21.356000900268555,23.70599937438965,24.506000518798828,0.2840000092983246,0.22300000488758087,0.23999999463558197,0.26100000739097595,0.24799999594688416
2024-09-24T05:10,SUF,38.905399,16.2423,20.413000106811523,91.0,18.8936824798584,22.804765701293945,18.0,0.0,0.0,0.0,0.0,0.0,80.0,1014.2000122070312,1013.3742065429688,70.0,66.0,11.0,0.0,9000.0,0.019999999552965164,0.02408631145954132,0.21587324142456055,6.4096174240112305,8.404285430908203,8.91318130493164,9.290511131286621,218.1572723388672,223.2643280029297,223.36346435546875,234.4622344970703,15.119998931884766,20.51300048828125,19.812999725341797,19.113000869750977,22.26300048828125,20.713001251220703,23.312999725341797,23.76300048828125,0.3019999861717224,0.296999990940094,0.27900001406669617,0.2669999897480011,0.29600000381469727
2024-09-24T05:35,BOJ,42.56959915,27.51519966,14.548500061035156,86.0,12.233280181884766,14.611154556274414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1016.5,1011.685546875,10.0,0.0,10.0,0.0,22420.0,0.05000000447034836,0.035969268530607224,0.2321176528930664,4.349896430969238,5.58870267868042,4.213691711425781,0.35999998450279236,294.4439392089844,255.0685272216797,250.0167999267578,90.0,7.920000076293945,16.098499298095703,17.598499298095703,18.19849967956543,17.298500061035156,15.59850025177002,19.548500061035156,20.94849967956543,0.2669999897480011,0.27000001072883606,0.28600001335144043,0.31200000643730164,0.3370000123977661
2024-09-24T05:30,VAR,43.232101,27.8251,14.372499465942383,61.0,6.946968078613281,12.495552062988281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.5,1008.4462280273438,0.0,0.0,0.0,0.0,65440.0,0.029999999329447746,0.06603700667619705,0.6394441723823547,7.5170207023620605,5.351784706115723,2.2768397331237793,3.7064266204833984,16.699325561523438,19.653913497924805,108.43504333496094,119.05451202392578,14.399999618530273,19.922500610351562,20.122501373291016,19.72249984741211,15.22249984741211,15.522500038146973,18.822500228881836,19.77250099182129,0.17499999701976776,0.17800000309944153,0.1860000044107437,0.2070000022649765,0.20000000298023224
2024-09-24T06:00,XRY,36.744598,-6.06011,13.862500190734863,98.0,13.551605224609375,14.572166442871094,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1016.7000122070312,1014.0418090820312,34.0,31.0,0.0,3.0,1600.0,0.0,0.0,0.03171837329864502,2.9686360359191895,5.623379707336426,8.08999252319336,8.31124496459961,165.96372985839844,230.19447326660156,249.1454620361328,265.03033447265625,5.399999618530273,17.0625,16.962499618530273,16.962499618530273,12.3125,16.762500762939453,21.61250114440918,23.712499618530273,0.11800000071525574,0.14100000262260437,0.18199999630451202,0.22699999809265137,0.3070000112056732
2024-09-24T05:05,PMI,39.551701,2.73881,17.762500762939453,100.0,17.762500762939453,19.889339447021484,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1013.2000122070312,1012.724365234375,99.0,75.0,0.0,92.0,980.0,0.0,0.0,0.0,4.680000305175781,1.4843180179595947,6.193674087524414,11.681986808776855,67.38009643554688,194.03627014160156,215.5377655029297,213.69009399414062,9.720000267028809,19.762500762939453,19.762500762939453,19.36250114440918,18.36250114440918,18.61250114440918,22.162500381469727,23.86250114440918,0.12099999934434891,0.12300000339746475,0.14499999582767487,0.16500000655651093,0.1940000057220459
2024-09-24T06:35,RHO,36.40539932,28.08620071,23.00950050354004,61.0,15.084978103637695,24.447418212890625,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1014.7000122070312,1014.348876953125,97.0,0.0,98.0,75.0,54900.0,0.019999999552965164,0.10470035672187805,1.0963542461395264,1.7999999523162842,2.2768397331237793,2.545584201812744,2.741678237915039,180.0,251.56495666503906,261.8699951171875,246.80137634277344,9.359999656677246,22.20949935913086,21.909500122070312,21.409500122070312,26.659500122070312,22.559499740600586,24.809499740600586,26.609500885009766,0.07699999958276749,0.10300000011920929,0.1459999978542328,0.18400000035762787,0.21699999272823334
2024-09-24T06:55,HER,35.33969879,25.18029976,22.204500198364258,70.0,16.47296142578125,23.74374771118164,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1016.2000122070312,1013.383544921875,70.0,1.0,70.0,0.0,51940.0,0.09000000357627869,0.12681637704372406,0.8031177520751953,4.896529197692871,4.198285102844238,5.351784706115723,8.404285430908203,197.10281372070312,239.0363006591797,289.6539001464844,313.26434326171875,13.319999694824219,21.60449981689453,21.204500198364258,20.504499435424805,23.754499435424805,21.004499435424805,23.154499053955078,25.10449981689453,0.12600000202655792,0.16099999845027924,0.20999999344348907,0.24899999797344208,0.32199999690055847
