Departure_AirportCode,Departure_ScheduledTimeLocal_DateTime,Departure_ScheduledTimeUTC_DateTime,Departure_ActualTimeLocal_DateTime,Departure_ActualTimeUTC_DateTime,Departure_TimeStatus_Code,Departure_TimeStatus_Definition,Departure_Terminal_Name,Departure_Terminal_Gate,Arrival_AirportCode,Arrival_ScheduledTimeLocal_DateTime,Arrival_ScheduledTimeUTC_DateTime,Arrival_ActualTimeLocal_DateTime,Arrival_ActualTimeUTC_DateTime,Arrival_TimeStatus_Code,Arrival_TimeStatus_Definition,Arrival_Terminal_Name,MarketingCarrier_AirlineID,MarketingCarrier_FlightNumber,OperatingCarrier_AirlineID,OperatingCarrier_FlightNumber,Equipment_AircraftCode,Equipment_AircraftRegistration,FlightStatus_Code,FlightStatus_Definition,ServiceType,Arrival_Terminal_Gate,Arrival_EstimatedTimeLocal_DateTime,Arrival_EstimatedTimeUTC_DateTime,Departure_EstimatedTimeLocal_DateTime,Departure_EstimatedTimeUTC_DateTime
FRA,2024-09-24T06:40,2024-09-24T04:40Z,2024-09-24T06:43,2024-09-24T04:43Z,OT,Flight On Time,1,A24,VIE,2024-09-24T08:05,2024-09-24T06:05Z,2024-09-24T07:59,2024-09-24T05:59Z,FE,Flight Early,3,OS,218,OS,218,320,OELXE,LD,Flight Landed,Passenger,SBS,,,,
FRA,2024-09-24T06:45,2024-09-24T04:45Z,2024-09-24T06:56,2024-09-24T04:56Z,OT,Flight On Time,1,A17,BER,2024-09-24T07:55,2024-09-24T05:55Z,2024-09-24T07:53,2024-09-24T05:53Z,FE,Flight Early,1,LH,170,LH,170,32A,DAIUN,LD,Flight Landed,Passenger,B20,,,,
FRA,2024-09-24T06:45,2024-09-24T04:45Z,2024-09-24T06:47,2024-09-24T04:47Z,OT,Flight On Time,1,A14,CTA,2024-09-24T09:10,2024-09-24T07:10Z,2024-09-24T09:09,2024-09-24T07:09Z,FE,Flight Early,,LH,306,LH,306,32Q,DAIEK,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T06:45,2024-09-24T04:45Z,2024-09-24T06:45,2024-09-24T04:45Z,OT,Flight On Time,1,A03,BRE,2024-09-24T07:40,2024-09-24T05:40Z,2024-09-24T07:46,2024-09-24T05:46Z,OT,Flight On Time,,LH,350,LH,350,319,DAIBG,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T06:50,2024-09-24T04:50Z,2024-09-24T06:50,2024-09-24T04:50Z,OT,Flight On Time,1,B33,LCY,2024-09-24T07:15,2024-09-24T06:15Z,2024-09-24T07:04,2024-09-24T06:04Z,FE,Flight Early,,EN,8770,EN,8770,E90,IJENC,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T06:55,2024-09-24T04:55Z,2024-09-24T06:55,2024-09-24T04:55Z,OT,Flight On Time,1,B09,PMI,2024-09-24T09:05,2024-09-24T07:05Z,2024-09-24T09:10,2024-09-24T07:10Z,OT,Flight On Time,,DE,1510,DE,1510,32Q,DANMZ,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T06:55,2024-09-24T04:55Z,2024-09-24T06:54,2024-09-24T04:54Z,FE,Flight Early,1,A50,BRU,2024-09-24T07:55,2024-09-24T05:55Z,2024-09-24T07:45,2024-09-24T05:45Z,FE,Flight Early,,LH,1004,LH,1004,32V,DAIWH,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:00,2024-09-24T05:00Z,2024-09-24T07:03,2024-09-24T05:03Z,OT,Flight On Time,1,A22,STR,2024-09-24T07:40,2024-09-24T05:40Z,2024-09-24T07:36,2024-09-24T05:36Z,FE,Flight Early,2,LH,126,LH,126,319,DAILM,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:00,2024-09-24T05:00Z,2024-09-24T07:01,2024-09-24T05:01Z,OT,Flight On Time,1,A16,ARN,2024-09-24T09:05,2024-09-24T07:05Z,2024-09-24T09:04,2024-09-24T07:04Z,FE,Flight Early,5,LH,800,LH,800,32M,DAIDH,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:00,2024-09-24T05:00Z,2024-09-24T07:07,2024-09-24T05:07Z,OT,Flight On Time,1,A56,OSL,2024-09-24T09:00,2024-09-24T07:00Z,2024-09-24T09:09,2024-09-24T07:09Z,OT,Flight On Time,,LH,866,LH,866,32N,DAIJA,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:00,2024-09-24T05:00Z,2024-09-24T07:05,2024-09-24T05:05Z,OT,Flight On Time,1,B46,LHR,2024-09-24T07:40,2024-09-24T06:40Z,2024-09-24T07:35,2024-09-24T06:35Z,FE,Flight Early,2,LH,924,LH,924,32N,DAINI,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:00,2024-09-24T05:00Z,2024-09-24T07:02,2024-09-24T05:02Z,OT,Flight On Time,1,A02,BSL,2024-09-24T07:50,2024-09-24T05:50Z,2024-09-24T07:55,2024-09-24T05:55Z,OT,Flight On Time,,LH,1200,LH,1200,CRK,EIHIA,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:05,2024-09-24T05:05Z,2024-09-24T07:07,2024-09-24T05:07Z,OT,Flight On Time,1,A01,HAJ,2024-09-24T07:55,2024-09-24T05:55Z,2024-09-24T07:53,2024-09-24T05:53Z,FE,Flight Early,,LH,046,LH,046,319,DAILI,LD,Flight Landed,Passenger,A05,,,,
FRA,2024-09-24T07:05,2024-09-24T05:05Z,2024-09-24T07:08,2024-09-24T05:08Z,OT,Flight On Time,1,A13,DUS,2024-09-24T07:55,2024-09-24T05:55Z,2024-09-24T07:53,2024-09-24T05:53Z,FE,Flight Early,,LH,072,LH,072,32A,DAIZZ,LD,Flight Landed,Passenger,A39,,,,
FRA,2024-09-24T07:05,2024-09-24T05:05Z,2024-09-24T07:08,2024-09-24T05:08Z,OT,Flight On Time,1,B11,NUE,2024-09-24T07:45,2024-09-24T05:45Z,2024-09-24T07:50,2024-09-24T05:50Z,OT,Flight On Time,,LH,140,LH,140,320,DAIZI,LD,Flight Landed,Passenger,,,,,
FRA,2024-09-24T07:05,2024-09-24T05:05Z,2024-09-24T07:05,2024-09-24T05:05Z,OT,Flight On Time,1,B13,LUX,2024-09-24T07:50,2024-09-24T05:50Z,2024-09-24T07:45,2024-09-24T05:45Z,FE,Flight Early,,LH,390,LH,390,E90,DAECE,LD,Flight Landed,Passenger,,,,,
